name,offer_price,price,status,thumb_img
Steak,350000,400000,1,https://drive.google.com/thumbnail?id=1wHLEdk_9WN5cAgmnJCeoUZmzFpBzAYbG
Chicken Parmesan,40000,300000,1,https://drive.google.com/thumbnail?id=1WDdiODqMqQuP9be6HSoPDR6DdpqHGTus
Beef Wellington,80000,500000,1,https://drive.google.com/thumbnail?id=1NCX8wKxjRW6_W_mmJrDnzkYZBPpYZZj1
Lamb Chops,100000,200000,1,https://drive.google.com/thumbnail?id=1ECV3ywIlLUKlxpnF-ff0J68opGhPs1Mu
Coq au Vin,70000,200000,1,https://drive.google.com/thumbnail?id=13Q0uQp7yR3WtyZPU9OsvAkcNXfYBFDgq
Paella,60000,150000,1,https://drive.google.com/thumbnail?id=18UCljlC8JPbrvKFmH6pn_ncWWnxYlwqo
Tandoori Chicken,70000,200000,1,https://drive.google.com/thumbnail?id=1vZ9Z2Ay8M-QiSkhejkj0roY9jmeudkir
Peking Duck,40000,200000,1,https://drive.google.com/thumbnail?id=1QfKPtWRqKQ5Al_DWVtMiUGkUf_rpyONS
Jambalaya,50000,200000,1,https://drive.google.com/thumbnail?id=1bJnAuAaZaVVrGDmxK45_vZFXOQwEeEDJ
Moussaka,50000,200000,1,https://drive.google.com/thumbnail?id=14NniwHLaxnnwV2jpQDV1vpTs7zSgRGSF
