name,offer_price,price,status,thumb_img
French Fries,120000,140000,1,https://drive.google.com/thumbnail?id=1jGIZod5U9NnBsIBKPrdaQoVCgMmNSFyY
Sliders,150000,180000,1,https://drive.google.com/thumbnail?id=1xXhPQv8Tpd2GaJU21DSviYQIEOWyKqps
Garlic Bread,80000,100000,1,https://drive.google.com/thumbnail?id=1MOlcQe-rG93VFzbTg20RT3kRuxkE0LGv
Nachos,90000,110000,1,https://drive.google.com/thumbnail?id=1M3hld2wcnkoVhOlXUQLYl_EjikesFJxK
Spring Rolls,70000,80000,1,https://drive.google.com/thumbnail?id=1O3w80JTqVulVbLCsh7GuNPtGHypjrdEc
Mozzarella Sticks,95000,120000,1,https://drive.google.com/thumbnail?id=1lg1EFCRAnOALUvIpuDgIfM2LIf25J3Lm
Chicken Wings ,110000,140000,1,https://drive.google.com/thumbnail?id=1wr1u9X5F7jeF3I0ardBSylP2BnyGHr-a
Onion Rings,100000,120000,1,https://drive.google.com/thumbnail?id=106UOqgla2xWxcbHfCJ3Bv8FYW-nmJ1r_
Popcorn,50000,70000,1,https://drive.google.com/thumbnail?id=1WdUfO3oJn-1gWPYbWvkkqTj5yYH_WH8l
Mini Quiches,60000,75000,1,https://drive.google.com/thumbnail?id=19Lq3Xv6eswqk5X3z7bPYilkc-rFWCE6X
